10008,1200387,225400,672816
10038,1176346,190158,782988
10039,1665035,109301,1216685
10046,337248,17010,265336
10047,213933,7317,167829
10048,651943,8629,512941
10055,3169778,304188,2042100
10064,125237,3622,102145
1007,857160,298457,316656
10080,2863699,42778,2271887
10083,1105478,90715,785133
10091,64881,1784,50729
10126,24729,9137,19022
10127,944949,208965,531867
10131,1205621,16868,939343
10134,2060751,63546,1559505
1013,149334,118394,115725
10145,84621,6242,66691
1015,59537,927,49008
10162,1587674,22390,1257344
10168,462714,12842,376461
10174,134316,11895,106035
10185,347534,115548,144595
10208,56815,2619,44601
1021,2482012,255380,1539967
10239,566515,134824,283753
10247,426128,121200,223218
10269,749390,158838,414791
10271,1054318,190641,619886
10285,7602470,180541,6041924
10308,612522,9058,478861
10312,1375926,153021,932084
10341,6939,2270,5462
10347,42044,3577,33110
10354,2739933,37204,2224356
10387B,1260640,314270,723158
10405,2202544,29574,1718316
10437,466829,7085,364644
10450,150380,3403,117217
10498,1159058,103014,827706
10509,1454439,20676,1139178
10522,325756,34603,263781
10527,1462825,19926,1152184
10533,1730525,79584,1294428
10548,1778379,220966,1159419
10559,1416365,213147,896384
10565,3759548,51331,2968312
10567,178432,14524,140896
10575,12145999,328407,9807003
1057,100750,3426,79208
10593,354699,14143,276910
10617,2194491,30928,1715162
10623,5880943,98762,4742318
10634,2067592,27903,1601100
10732,289141,3876,240285
10749,381289,12625,299613
10753B,3026923,39217,2404088
10765,3610018,200561,2762541
10793,30052,85733,23552
10816,803753,10234,660091
10819,1618267,135571,1152049
10870,1827336,37228,1549668
10879,709552,11847,550938
10893,124060,3679,102131
10895,3558549,293602,2456466
10898,117053,3053,89668
10912,1480819,21430,1145958
10930,493034,86562,271383
10933,589131,8651,460991
10935,957932,20381,760187
10952,2283193,156976,1646030
1095,1578384,22353,1239858
10964,1225198,175853,795221
1096,739016,101222,462534
10988,122573,4574,96011
11006,409250,6035,340646
11016,717264,10125,556968
1105,904236,193818,469429
11077,475633,5889,389187
11127,448686,102265,246148
11130,51827,5430,40554
11140,286917,86163,141911
1114,429199,5598,351746
11213,85829,8164,67871
1121,3692682,82750,2944782
11263,1507933,68170,1147624
11301,2564950,35581,2014427
11313,1230952,101934,889023
11374,1198793,140702,811012
11376,1574843,394839,721090
11395,2577491,58218,2076515
11412,2198759,31079,1706522
11417,1190335,275401,602568
11419,853369,185650,604375
11426,1242717,18334,990314
11479,1932090,36090,1397698
1149,3979907,445546,2474125
11551B,1142293,433697,405699
11609,4191342,379876,2669433
11637,1757397,40179,1405303
11678,642720,143032,348851
11772,8657,2976,6661
11799,2483472,58367,2008620
11807,5575955,121772,4504340
11811,1366082,17889,1089110
11931,601618,9277,501290
1200,586122,7612,470593
12012B,1536474,156909,958942
12023,710664,13431,577350
12027,5515324,4419077,33373
12036,1126685,16450,881618
12054,36398,10302,28447
12055B,1118338,179095,665674
12055,1168808,35742,913491
12076,994044,136073,635298
12117B,4704680,231104,3566459
12118,1518003,137931,1186640
12122,1757775,41961,1369957
12127,3683187,83621,2974377
12141,545072,264114,140465
12144,819956,87500,566702
12145,4831801,64747,3761745
12161,1589564,112575,1161293
12170,1492556,19415,1159765
12181,162454,5667,126150
12188,347467,79090,185118
12202,4138,2812,3070
12224,1682043,205352,1138436
12258,980552,341521,335282
1230,1906067,55107,1510747
12321,1422747,20123,1095357
12345,4368162,437090,2772549
12355,816390,184168,435096
12360B,162345,90390,16033
12378,1586706,142817,1114405
12380,1577483,217888,935896
12388,1601852,23771,1248056
12396,1561198,25707,1214531
12403,105813,16089,71900
12407,729047,17399,576760
1240,1579360,21481,1245805
12424,458774,13788,362469
12425,133992,44905,53953
12441B,2589147,66499,2062391
1244,2810638,37146,2191030
12461,93674,25430,73416
12475,1307927,17558,1019962
12505,2060340,142774,1521515
12534,2480725,33582,1922309
12538,1987018,29852,1558266
12572,191547,5976,160728
12610,337595,13184,257301
12637,127736,4894,96325
12650,52737,1977,41996
12654B,395524,162415,134887
12662,2733699,36039,2175977
12695,2463232,38652,1927600
12757,10438122,150098,8203137
12767,198175,8258,157387
12780,419872,151399,137117
12784,1708052,26712,1338372
12798,30789,2472,25050
12818,1153312,167613,682580
12823,1397043,455675,479723
12829,1377624,19223,1074646
12831,872029,183585,478613
12835,4546307,63365,3519459
12844,921082,103644,649062
12846,1885638,33471,1476356
12851,4428,65869,2558
12856,1840480,27792,1420490
12887B,271784,158290,15723
12888,893857,13253,697471
12898,439178,174663,139467
12924,650622,7124,554278
13015,2462379,34002,1953242
13054,378451,10796,304121
13055,1217746,79961,971141
13058,387437,117925,157273
13062,1009283,13300,798600
13082,2205679,30465,1766836
13110,1131234,14780,896114
13140,1609905,21299,1305844
13175,964306,104829,667012
13180,3111938,76639,2484914
13181,6582059,700956,4181170
13209,631733,153858,327866
13216,3352800,83057,2645172
13220,2042472,28503,1608184
13222,4721081,399906,3115696
13250,1175609,153451,720722
13270,1372198,83973,1039275
13302,558447,163473,232942
13338,1184419,17821,928054
13352,944080,24682,765632
13372,68212,3287,52544
1337,4362455,108810,3481972
13418,1513924,113632,1098203
13522,206843,131407,4647
13565,293898,17934,232778
13617,33332,3416,25137
13630,7589,2312,6017
13659,1287425,298392,624078
1366,830871,177550,451364
13753,409394,121463,196191
13810,2490622,51521,1924548
13835,84286,4891,66155
13850B,995484,85579,730394
13867,412787,30473934,27991
13894,878697,13298,690240
13898B,1838,69450,564
13898C,343609,236131,53347
13939,12395,3685,9336
13948,2628377,36258,2047722
14064,2338156,32375,1817302
14076,31960,5418,24526
14116,61347,4028,48953
14262,2180577,56107,1728043
14270,1281526,102710,934917
14322,816873,300377,256575
14397,3764455,49733,2931963
1450,3492921,148082,2717409
14516,1179953,234556,653364
14531,5669043,132825,4514890
14552,3609568,299535,2365273
14594,1065085,140471,720335
14645,72626,6094,57066
14650,1402214,1681613,1089195
14681,651375,117628,393623
14761,11933,1913,9466
14795,1540452,194439,1014293
14798,137625,118305,104611
14813,1274195,126965,887689
14834,1454799,37229,1123093
14853,2399140,67762,1884169
14855,2923857,72492,2315524
14952,167000,7522,130421
14959,2197060,105878,1668640
14967,133517,5669,107347
1496,406204,5417,320783
15001,2943097,40261,2334707
15037B,4137,6135,2749
15037,673,83954,489
15052,2729991,39019,2153874
1506,18360,129094,13546
15143,234111,10093,185850
15170,2721,13754,1551
15176,1839829,1662780,1117638
15177,138546,5867,108504
15194,214120,7678,165447
15238B,936176,352134,365245
15238,1873033,25739,1481429
15275,363463,10288,292047
1528,2579045,39415,1963977
15310,1045852,120548,696147
15340,2300906,133460,1668820
15395,389413,10806,319355
15406C,1598089,122274,1173582
